word,pronunciation,meaning,description_en,example,word_type,collocation,related_words,note,deck_name,deck_tag
maintain,/meɪnˈteɪn/,duy trì,"To keep a state, condition, or activity in existence or at a certain level; to cause something to continue.",Cultural norms and values are crucial for societies to maintain stability and predictability in social interactions.,verb,"to maintain, and maintain, not maintain","preserve, sustain",,Sociology,IELTS 7.5+
complex,/ˈkɑmplɛks/,tổ hợp,"Consisting of many different and connected parts, making it difficult to analyze or understand.","The simulation of climate change requires processing a complex set of variables, including atmospheric, oceanic, and terrestrial interactions.",adjective,"a complex, more complex, the complex","intricate, complicated",,Systems Theory,IELTS 7.5+
intend,/ˌɪnˈtɛnd/,có ý định,To have a course of action as one's purpose or objective; to plan or aim to do something.,"The framers of the constitution intended for the document to be adaptable, allowing for interpretations that could address future societal changes not foreseen in the 18th century.",verb,"not intend, you intend, we intend","mean, plan",,Law,IELTS 7.5+
transform,/ˈtrænsfɔrm/,biến đổi,"To make a thorough or dramatic change in the form, appearance, or character of something or someone.","The widespread adoption of digital technologies has begun to transform the global economy, creating new business models and disrupting traditional industries.",verb,"to transform, fourier transform, and transform","convert, alter",,Technology,IELTS 7.5+
claim,/kleɪm/,khẳng định,"To state or assert that something is the case, typically without providing evidence or proof.",Some historians claim that the economic policies of the late 19th century were the primary catalyst for the widespread social unrest that followed.,verb,"the claim, a claim, to claim","assert, allege",,History,IELTS 7.5+
official,/əˈfɪʃəl/,chính thức,Relating to or approved by an authority or public body; having a formal and recognized status.,"Following the extensive investigation, the commission's official report concluded that regulatory oversight had been insufficient to prevent the financial collapse.",adjective,"the official, an official, of official","authorized, formal",,Political Science,IELTS 7.5+
requirement,/rɪkˈwaɪrmənt/,yêu cầu,A thing that is compulsory; a necessary condition that must be met before something else can happen.,A fundamental requirement for any scientific inquiry is the formulation of a testable hypothesis that can be empirically verified or falsified.,noun,"the requirement, a requirement, this requirement","prerequisite, stipulation",,Education,IELTS 7.5+
effective,/ˈifɛktɪv/,hiệu quả,Successful in producing a desired or intended result.,The commission's report evaluated whether the new environmental regulations were an effective mechanism for reducing industrial carbon emissions.,adjective,"an effective, the effective, more effective","efficacious, productive",,Public Policy,IELTS 7.5+
scientific,/ˌsaɪənˈtɪfɪk/,có tính khoa học,"Relating to or based on the methods and principles of science; characterized by systematic observation, measurement, and experimentation.","The development of quantum mechanics in the early 20th century required a fundamental shift in scientific thought, challenging the deterministic worldview of classical physics.",adjective,"the scientific, of scientific, a scientific","systematic, empirical",,Physics,IELTS 7.5+
option,/ˈɔpʃən/,lựa chọn,A thing that is or may be chosen from two or more possibilities; a choice.,The foreign policy committee meticulously analyzed every diplomatic option available before recommending sanctions as a last resort to de-escalate the international conflict.,noun,"the option, an option, this option","choice, alternative",,Political Science,IELTS 7.5+
secure,/sɪˈkjʊr/,chắc chắn,"Fixed or fastened so as not to give way, become loose, or be lost; protected against threats, risks, or unauthorized access.","In modern cryptography, a secure hash function must be resistant to preimage attacks, making it computationally infeasible to find any input which hashes to a specific output.",adjective,"to secure, and secure, a secure","protected, safe",,Computer Science,IELTS 7.5+
account,/əˈkaʊnt/,tài khoản,A report or description of an event or experience.,"Herodotus provides a detailed account of the Greco-Persian Wars, though modern historians often question its complete objectivity.",noun,"on account, into account, an account","report, narrative",,History,IELTS 7.5+
extend,/ɪkˈstɛnd/,mở rộng,"To make something last longer, or to make something larger in area, scope, or influence.",The mandate of the international peacekeeping force was extended by the Security Council to prevent a resurgence of conflict in the region.,verb,"to extend, not extend, and extend","prolong, expand",,Political Science,IELTS 7.5+
concern,/kənˈsərn/,bận tâm,"A feeling of worry or anxiety about something, or a matter of importance that causes this feeling.","A main concern for environmentalists is the concept of sustainability, which advocates for the responsible management of resources to maintain ecological balance.",noun,"of concern, the concern, a concern","worry, anxiety",,Sociology,IELTS 7.5+
survey,/ˈsərˌveɪ/,sự khảo sát,"An investigation into the opinions, behavior, or characteristics of a particular group of people by asking a series of questions.","The longitudinal survey, which tracked participants over a twenty-year period, provided invaluable data on the long-term effects of early childhood education.",noun,"a survey, the survey, geological survey","questionnaire, poll",,Sociology,IELTS 7.5+
solution,/səˈluʃən/,giải pháp,"A method for solving a problem or dealing with a difficult situation; in a scientific context, a liquid mixture in which the minor component (the solute) is uniformly distributed within the major component (the solvent).",The titration process requires the gradual addition of a standard solution of known concentration to a solution of unknown concentration until the reaction reaches its neutralization point.,noun,"the solution, a solution, in solution","answer, resolution",,Chemistry,IELTS 7.5+
represent,/ˌrɛprɪˈzɛnt/,đại diện,"To stand for, be a sign or symbol of, or to act or speak officially for a person or group.","In a democratic system, elected officials are tasked with the crucial responsibility to represent the diverse interests and viewpoints of their constituents.",verb,"to represent, they represent, not represent","symbolize, embody",,Political Science,IELTS 7.5+
detail,/ˈditeɪl/,chi tiết,"An individual feature, fact, or item, often considered as part of a larger whole.","The restoration process revealed a previously unseen detail in the lower-left corner of the fresco, fundamentally altering our understanding of the artist's original composition.",noun,"in detail, more detail, of detail","particular, specific",,Art History,IELTS 7.5+
communicate,/kəmˈjunəˌkeɪt/,giao tiếp,"To share or exchange information, news, or ideas, often through speaking, writing, or using some other medium.","Within complex social structures, individuals communicate their status and intentions through a combination of verbal cues and non-verbal signals.",verb,"to communicate, and communicate, can communicate","convey, transmit",,Sociology,IELTS 7.5+
reject,/ˈriʤɛkt/,từ chối,"To refuse to accept, use, or believe something or someone, often because it is not good enough or suitable.","In immunology, the body's defense mechanisms may reject a transplanted organ if its tissues are not a close enough match to the recipient's.",verb,"to reject, or reject, not reject","decline, dismiss",,Biology,IELTS 7.5+
critical,/ˈkrɪtɪkəl/,phê bình,Relating to the objective analysis and evaluation of an issue; expressing disapproving judgments; or being of decisive importance or at a point of crisis.,The sociologist's critical analysis of the data revealed underlying social inequalities that were not immediately apparent from the initial survey results.,adjective,"the critical, a critical, of critical","crucial, vital",,Sociology,IELTS 7.5+
